Claim ID,Vehicle style,Vehicle color,Vehicle Age,Make,VehiclePrice,Gender,Marital Status,State,Occupation,License Type,Drinking-and-Driving,Collission Types,Accident Reason,Holiday Weeks,AccidentArea,Weather,Accident Date,Claim Date,Police Notification,Passengers #,Repair amount,Sum Insured,Days_Policy_Claim,PastNumberOfClaims,AddressChange_Claim,BasePolicy,DriverRating,Fraud Detected
355,Sport,Grey,3,Chevrolet,20000 to 29000,0,Married,NSW,Cashiers,O,0,nose-to-tail,Distracted driving,Yes,Urban,Icy pavement,20/07/2017,28/08/2015,0,2,"$3,416.00","$2,732.80",more than 30,2 to 4,no change,All Perils,2,1
356,SUV,Red,7,Pontiac,30000 to 39000,0,Single,VIC,Teacher,O,0,collision with reversing,Speeding,Yes,Urban,Rain,25/08/2013,23/02/2019,0,0,$995.00,$696.50,more than 30,1,no change,All Perils,4,1
357,compacts,Yellow,2,Chevrolet,20000 to 29000,1,Married,VIC,dentists,O,1,side swipe,Speeding,Yes,Urban,Wet pavement,2/07/2016,4/09/2017,0,4,"$6,876.00","$6,188.40",more than 30,none,no change,Liability,3,0
358,SUV,Green,9,Toyota,less than 20000,0,Single,ACT,engineer,O,1,nose-to-tail,Driving through red lights,Yes,Rural,Wet pavement,5/12/2012,13/03/2019,1,0,"$5,963.00","$5,366.70",more than 30,1,2 to 3 years,All Perils,4,1
359,SUV,Yellow,13,VW,more than 69000,0,Married,NT,dentists,O,1,nose-to-tail,Speeding,No,Urban,Wet pavement,28/09/2017,6/02/2017,0,0,"$1,389.00",$972.30,more than 30,none,no change,Collision,4,1
360,compacts,Green,10,Honda,20000 to 29000,1,Married,NT,student,O,0,nose-to-tail,Driving drunk,No,Urban,Snow/Slushy pavement,13/03/2012,14/02/2020,0,3,$601.00,$420.70,more than 30,1,no change,Collision,3,0
361,SUV,Black,11,Mazda,20000 to 29000,1,Married,ACT,Teacher,O,0,nose-to-tail,Speeding,Yes,Urban,Snow/Slushy pavement,9/08/2020,19/07/2010,0,4,$512.00,$358.40,more than 30,none,no change,Collision,3,1
362,Subcompacts,Black,9,Pontiac,30000 to 39000,1,Single,NT,office clerks,O,0,nose-to-tail,Tailgating/aggressive driving,No,Urban,Rain,17/10/2016,2/08/2017,0,0,"$2,140.00","$1,712.00",more than 30,none,no change,Collision,4,1
363,SUV,Yellow,5,Toyota,20000 to 29000,1,Married,NT,dentists,O,0,nose-to-tail,Driving drunk,No,Rural,Snow/Sleet,29/12/2010,27/11/2010,0,4,"$5,995.00","$5,395.50",more than 30,2 to 4,no change,Collision,3,0
364,compacts,White,8,Pontiac,more than 69000,1,Married,QLD,Security guards,O,0,side swipe,Driving through red lights,Yes,Urban,Icy pavement,16/04/2020,3/01/2012,0,2,"$6,118.00","$5,506.20",more than 30,2 to 4,no change,All Perils,3,0
365,SUV,Yellow,9,Toyota,more than 69000,0,Married,QLD,student,O,0,collision with reversing,Tailgating/aggressive driving,No,Urban,Snow/Slushy pavement,8/03/2011,16/12/2018,0,4,"$3,936.00","$3,148.80",more than 30,none,1 year,Liability,3,1
366,City-cars,Black,11,Chevrolet,more than 69000,1,Married,SA,Accountants,O,0,nose-to-tail,Driving drunk,Yes,Urban,Icy pavement,27/09/2013,24/10/2013,0,2,$965.00,$675.50,more than 30,2 to 4,no change,All Perils,1,0
367,SUV,Grey,8,Pontiac,20000 to 29000,1,Married,SA,Teacher,O,1,nose-to-tail,Speeding,No,Urban,Icy pavement,25/12/2011,30/05/2014,0,0,"$3,013.00","$2,410.40",more than 30,none,under 6 months,All Perils,2,0
368,Subcompacts,Black,5,Honda,20000 to 29000,0,Married,ACT,nurse,O,1,nose-to-tail,Distracted driving,No,Urban,Wet pavement,16/04/2016,14/01/2011,0,3,"$2,511.00","$2,008.80",more than 30,1,no change,Collision,1,1
369,SUV,Green,10,Honda,less than 20000,0,Single,VIC,Teacher,O,0,side swipe,Tailgating/aggressive driving,Yes,Urban,Fog,27/02/2019,31/08/2016,0,2,"$2,950.00","$2,360.00",more than 30,none,no change,All Perils,3,0
370,Subcompacts,Black,1,Honda,20000 to 29000,1,Single,NT,dentists,O,0,collision with reversing,Distracted driving,Yes,Urban,Wet pavement,11/01/2011,17/12/2014,0,2,"$5,143.00","$4,628.70",more than 30,1,no change,Collision,1,1
371,compacts,White,10,Mazda,30000 to 39000,1,Married,VIC,lawyer,O,0,nose-to-tail,Tailgating/aggressive driving,No,Urban,Rain,30/10/2020,18/12/2013,0,0,"$6,994.00","$6,294.60",more than 30,2 to 4,no change,Liability,2,1
372,Midsize,Black,13,Toyota,20000 to 29000,0,NA,SA,Teacher,O,0,collision with reversing,Driving drunk,Yes,Urban,Wet pavement,12/05/2012,19/08/2016,1,2,"$3,722.00","$2,977.60",more than 30,2 to 4,no change,Collision,2,0
373,SUV,Grey,10,Chevrolet,30000 to 39000,1,Married,QLD,flight attendant,O,1,collision with stationary vehicle,Driving through red lights,Yes,Rural,Icy pavement,22/11/2016,24/11/2020,0,3,$359.00,$0.00,more than 30,none,no change,Collision,2,0
374,City-cars,Grey,10,Mazda,20000 to 29000,1,Married,NT,web developer,O,0,side swipe,Speeding,Yes,Urban,Icy pavement,29/03/2013,14/09/2018,1,2,"$6,152.00","$5,536.80",more than 30,1,no change,Liability,4,0
375,compacts,White,6,Honda,more than 69000,0,Single,WA,nurse,O,0,side swipe,Tailgating/aggressive driving,No,Urban,Rain,21/07/2012,2/04/2011,0,3,"$2,529.00","$2,023.20",more than 30,none,no change,All Perils,4,0
376,Subcompacts,Red,10,Honda,20000 to 29000,1,Married,SA,marketing manager,O,0,collision with stationary vehicle,Speeding,No,Urban,Rain,9/10/2011,1/11/2011,1,4,"$3,845.00","$3,076.00",more than 30,none,no change,All Perils,3,0
377,SUV,Grey,11,Mazda,20000 to 29000,0,Married,VIC,web developer,O,0,nose-to-tail,Driving drunk,Yes,Urban,Snow/Sleet,11/10/2012,8/07/2020,1,0,$238.00,$0.00,more than 30,none,no change,All Perils,4,0
378,SUV,Black,7,Toyota,20000 to 29000,1,Single,ACT,office clerks,O,0,nose-to-tail,Driving drunk,Yes,Urban,Wet pavement,18/10/2018,14/06/2015,0,2,"$1,253.00",$877.10,more than 30,2 to 4,no change,Liability,4,1
379,City-cars,Yellow,8,Chevrolet,40000 to 59000,0,Single,NSW,Retails Salespersons,O,0,collision with stationary vehicle,Speeding,No,Urban,Rain,3/01/2019,8/05/2015,0,3,"$1,948.00","$1,363.60",more than 30,2 to 4,4 to 8 years,Liability,3,1
380,Midsize,White,11,Honda,30000 to 39000,0,Married,SA,information security analysts,O,0,nose-to-tail,Tailgating/aggressive driving,No,Urban,Rain,18/05/2013,18/09/2010,1,2,"$6,074.00","$5,466.60",more than 30,1,no change,Liability,3,1
381,compacts,Green,11,Ford,40000 to 59000,1,Single,WA,dentists,O,0,nose-to-tail,Speeding,No,Urban,Wet pavement,25/02/2020,27/05/2012,0,2,"$3,467.00","$2,773.60",more than 30,2 to 4,no change,Collision,2,0
382,City-cars,Blue,1,Honda,20000 to 29000,0,Married,NT,Security guards,O,0,nose-to-tail,Tailgating/aggressive driving,Yes,Urban,Wet pavement,20/03/2015,15/03/2013,0,2,$556.00,$389.20,more than 30,2 to 4,no change,Liability,4,1
383,SUV,Green,15,Chevrolet,20000 to 29000,1,NA,WA,medical assistants,O,0,nose-to-tail,Speeding,Yes,Urban,Snow/Sleet,30/05/2010,24/04/2011,0,3,$986.00,$690.20,more than 30,2 to 4,no change,Collision,1,0
384,Executive,Black,9,VW,60000 to 69000,1,NA,QLD,college professor,O,1,nose-to-tail,Distracted driving,Yes,Urban,Rain,7/12/2017,17/03/2015,0,2,"$3,962.00","$3,169.60",more than 30,none,no change,All Perils,1,1
385,SUV,Grey,5,Honda,less than 20000,0,Married,NSW,lawyer,O,0,nose-to-tail,Speeding,Yes,Urban,Rain,12/02/2018,7/06/2020,1,3,"$1,783.00","$1,248.10",more than 30,none,no change,All Perils,4,0
386,SUV,White,14,Honda,more than 69000,0,Married,NSW,Cashiers,O,1,nose-to-tail,Distracted driving,Yes,Urban,Snow/Sleet,14/04/2013,16/04/2019,0,0,"$2,789.00","$2,231.20",more than 30,none,no change,All Perils,3,1
387,Van,Green,13,VW,60000 to 69000,0,Married,TAS,engineer,O,0,nose-to-tail,Distracted driving,No,Urban,Wet pavement,5/05/2017,19/07/2014,0,4,"$1,618.00","$1,132.60",more than 30,1,no change,All Perils,2,1
388,SUV,Grey,2,Toyota,more than 69000,0,Single,WA,information security analysts,O,1,side swipe,Speeding,Yes,Urban,Wet pavement,25/11/2015,6/08/2018,0,3,"$4,310.00","$3,448.00",more than 30,none,no change,Collision,3,1
389,MPV,Grey,4,Honda,more than 69000,1,Single,NT,nurse,L,0,side swipe,Failing to give way,Yes,Urban,Icy pavement,18/12/2017,16/06/2016,0,4,"$4,587.00","$3,669.60",more than 30,2 to 4,no change,Liability,3,1
390,Midsize,Blue,14,Pontiac,30000 to 39000,0,Married,WA,insurance sales agent,O,1,nose-to-tail,Driving through red lights,Yes,Urban,Wet pavement,21/01/2020,17/12/2015,0,2,"$3,654.00","$2,923.20",more than 30,2 to 4,no change,Liability,2,1
391,City-cars,Blue,8,Chevrolet,60000 to 69000,0,Married,NT,nurse,O,0,nose-to-tail,Distracted driving,No,Urban,Snow/Sleet,2/01/2015,17/06/2019,0,1,$623.00,$436.10,more than 30,2 to 4,no change,Liability,2,0
392,Subcompacts,White,0,Ford,20000 to 29000,1,Single,ACT,Trailer Truck Drivers,O,0,nose-to-tail,Speeding,Yes,Rural,Wet pavement,11/02/2010,19/02/2014,1,1,"$4,897.00","$3,917.60",more than 30,2 to 4,no change,Liability,3,0
393,Subcompacts,Yellow,8,Chevrolet,20000 to 29000,1,Married,TAS,student,P1 or P2,0,side swipe,Driving drunk,Yes,Urban,Snow/Sleet,6/02/2010,5/01/2020,0,1,"$5,498.00","$4,948.20",more than 30,none,no change,Collision,4,0
394,Subcompacts,White,15,Chevrolet,20000 to 29000,1,Single,WA,physical therapists,O,0,collision with stationary vehicle,Speeding,No,Urban,Icy pavement,18/08/2016,25/08/2016,0,2,$849.00,$594.30,more than 30,2 to 4,no change,All Perils,2,0
395,SUV,Green,6,Mazda,20000 to 29000,1,Married,QLD,medical assistants,O,0,nose-to-tail,Distracted driving,Yes,Urban,Icy pavement,25/05/2015,12/12/2013,0,3,"$6,151.00","$5,535.90",more than 30,1,no change,Collision,3,1
396,Midsize,White,2,Honda,20000 to 29000,1,Married,WA,college professor,P,1,side swipe,Driving drunk,Yes,Urban,Snow/Sleet,20/09/2016,21/09/2015,0,0,"$6,193.00","$5,573.70",more than 30,1,no change,Collision,1,0
397,compacts,White,12,Pontiac,20000 to 29000,0,Married,NT,Teacher,O,0,collision with stationary vehicle,Driving tired,Yes,Urban,Rain,15/11/2019,22/09/2020,1,2,"$6,968.00","$6,271.20",more than 30,2 to 4,no change,Liability,4,0
398,compacts,Yellow,3,Toyota,20000 to 29000,1,Single,WA,Accountants,P1 or P2,1,nose-to-tail,Driving through red lights,Yes,Urban,Rain,14/02/2016,13/11/2019,0,4,$700.00,$490.00,more than 30,none,no change,Liability,1,0
399,SUV,Grey,8,Honda,20000 to 29000,0,Married,SA,flight attendant,O,1,side swipe,Driving through red lights,No,Urban,Wet pavement,16/09/2012,10/12/2019,1,3,$255.00,$0.00,more than 30,1,no change,All Perils,3,1
400,Midsize,Red,4,Mazda,20000 to 29000,0,Married,NT,Security guards,O,1,nose-to-tail,Tailgating/aggressive driving,No,Urban,Wet pavement,8/04/2010,28/05/2019,0,2,"$1,532.00","$1,072.40",more than 30,more than 4,4 to 8 years,Liability,4,0
401,MPV,Blue,3,Honda,40000 to 59000,0,Married,SA,medical assistants,O,0,collision with stationary vehicle,Speeding,No,Urban,Icy pavement,9/01/2013,4/02/2017,0,2,"$1,684.00","$1,178.80",more than 30,none,no change,Collision,4,1
402,compacts,Green,4,Pontiac,30000 to 39000,0,Married,NSW,web developer,O,0,nose-to-tail,Poorly designed roads/intersections,No,Urban,Rain,15/04/2018,31/10/2018,0,3,"$4,648.00","$3,718.40",more than 30,more than 4,no change,Liability,2,0
403,compacts,Blue,9,VW,more than 69000,1,Single,NT,flight attendant,L,1,side swipe,Driving through red lights,No,Urban,Icy pavement,19/03/2011,13/02/2013,0,1,$575.00,$402.50,more than 30,none,no change,All Perils,4,0
404,Van,Green,9,Honda,20000 to 29000,0,Married,NSW,Teacher,O,0,side swipe,Driving tired,Yes,Rural,Rain,9/01/2011,5/01/2019,0,1,"$6,208.00","$5,587.20",more than 30,none,no change,All Perils,3,1
405,SUV,Black,7,Mazda,30000 to 39000,0,Married,QLD,dentists,O,0,side swipe,Speeding,Yes,Urban,Wet pavement,14/11/2012,18/09/2012,1,3,"$5,507.00","$4,956.30",more than 30,none,no change,Collision,2,1
406,SUV,Yellow,15,Accura,more than 69000,1,Married,NT,student,O,0,nose-to-tail,Distracted driving,No,Urban,Wet pavement,2/08/2011,12/09/2011,0,4,"$5,023.00","$4,520.70",more than 30,more than 4,no change,All Perils,4,1
407,City-cars,Grey,12,Chevrolet,more than 69000,0,Single,WA,flight attendant,O,1,nose-to-tail,Tailgating/aggressive driving,No,Urban,Fog,22/03/2018,17/06/2018,0,2,"$2,620.00","$2,096.00",more than 30,more than 4,no change,Liability,3,1
408,SUV,Black,2,Pontiac,20000 to 29000,1,Married,NSW,college professor,O,0,side swipe,Driving tired,Yes,Urban,Rain,25/12/2020,1/07/2015,0,0,$323.00,$0.00,more than 30,more than 4,no change,Collision,2,0
409,SUV,Yellow,10,Pontiac,30000 to 39000,1,Married,ACT,dentists,L,1,collision with reversing,Speeding,No,Urban,Rain,5/09/2016,8/07/2013,0,2,"$2,821.00","$2,256.80",more than 30,2 to 4,2 to 3 years,Collision,2,0
410,SUV,Black,11,Pontiac,20000 to 29000,1,Single,QLD,flight attendant,O,0,side swipe,Distracted driving,No,Urban,Wet pavement,1/03/2015,28/11/2014,0,4,$886.00,$620.20,more than 30,2 to 4,no change,Liability,1,0
411,City-cars,Grey,2,Pontiac,20000 to 29000,1,Married,WA,insurance sales agent,O,1,nose-to-tail,Driving tired,No,Urban,Rain,27/06/2018,29/08/2011,0,1,"$3,646.00","$2,916.80",more than 30,more than 4,no change,Liability,1,1
412,Van,Yellow,7,Mazda,more than 69000,0,Single,QLD,lawyer,O,1,nose-to-tail,Tailgating/aggressive driving,Yes,Rural,Rain,31/10/2012,14/04/2012,0,3,"$5,247.00","$4,722.30",more than 30,1,no change,All Perils,2,0
413,SUV,Black,15,Pontiac,less than 20000,0,NA,VIC,insurance sales agent,O,0,nose-to-tail,Speeding,No,Urban,Snow/Sleet,19/02/2012,1/04/2010,0,1,"$3,879.00","$3,103.20",more than 30,none,no change,All Perils,4,1
414,Executive,White,7,Toyota,20000 to 29000,1,Married,TAS,student,L,0,side swipe,Speeding,Yes,Urban,Icy pavement,9/11/2016,13/01/2020,0,0,"$4,991.00","$3,992.80",more than 30,none,no change,Collision,1,1
415,Subcompacts,Red,15,Mazda,20000 to 29000,1,Married,NT,Security guards,O,0,collision with an animal,Driving drunk,No,Urban,Icy pavement,16/06/2013,16/06/2019,0,1,"$3,856.00","$3,084.80",more than 30,1,no change,All Perils,2,0
416,SUV,Green,12,Pontiac,20000 to 29000,1,NA,NT,dentists,O,0,collision with stationary vehicle,Distracted driving,Yes,Urban,Wet pavement,6/01/2018,30/07/2012,1,3,$336.00,$0.00,more than 30,2 to 4,no change,Collision,1,1
417,Midsize,Red,3,Honda,more than 69000,1,Married,QLD,dentists,O,1,side swipe,Distracted driving,Yes,Urban,Icy pavement,8/02/2010,15/06/2019,0,2,$346.00,$0.00,more than 30,1,no change,Collision,3,1
418,compacts,Red,4,Ford,40000 to 59000,0,NA,WA,nurse,O,1,collision with stationary vehicle,Driving drunk,No,Urban,Rain,3/10/2014,5/10/2018,0,2,"$1,987.00","$1,390.90",more than 30,2 to 4,no change,Collision,4,1
419,Subcompacts,Yellow,8,Toyota,20000 to 29000,0,Married,VIC,office clerks,O,1,nose-to-tail,Failing to give way,No,Urban,Wet pavement,25/12/2016,22/07/2013,0,4,"$4,897.00","$3,917.60",more than 30,1,no change,Collision,4,0
420,SUV,Yellow,3,Pontiac,20000 to 29000,0,Married,ACT,web developer,O,0,collision with stationary vehicle,Driving drunk,Yes,Urban,Icy pavement,30/10/2017,20/04/2012,0,0,"$5,658.00","$5,092.20",more than 30,2 to 4,no change,Liability,4,0
421,SUV,Blue,15,Chevrolet,20000 to 29000,0,Single,SA,Accountants,O,0,side swipe,Driving through red lights,Yes,Urban,Snow/Sleet,23/11/2014,10/10/2012,0,3,"$3,253.00","$2,602.40",more than 30,none,4 to 8 years,Collision,3,1
422,SUV,Red,14,Chevrolet,more than 69000,1,Married,QLD,flight attendant,O,0,collision with reversing,Speeding,Yes,Urban,Rain,14/02/2011,20/05/2016,0,3,$403.00,$0.00,more than 30,1,no change,Collision,4,1
423,SUV,Blue,0,Pontiac,20000 to 29000,1,Married,ACT,college professor,O,0,nose-to-tail,Tailgating/aggressive driving,No,Urban,Snow/Sleet,3/03/2015,15/07/2012,0,2,"$6,424.00","$5,781.60",more than 30,1,no change,All Perils,2,1
424,Subcompacts,Grey,13,Toyota,20000 to 29000,0,Single,NT,Accountants,O,1,side swipe,Driving tired,Yes,Urban,Wet pavement,31/01/2013,16/06/2013,0,1,"$2,014.00","$1,611.20",more than 30,2 to 4,no change,Collision,2,0
425,compacts,Black,13,Honda,30000 to 39000,1,Married,QLD,dentists,O,0,collision with stationary vehicle,Tailgating/aggressive driving,Yes,Urban,Rain,26/02/2019,26/10/2019,0,3,"$6,171.00","$5,553.90",more than 30,1,no change,All Perils,3,1
426,SUV,Red,5,Ford,30000 to 39000,0,Married,NSW,medical assistants,O,0,nose-to-tail,Failing to give way,No,Urban,Wet pavement,29/10/2011,14/07/2018,0,2,"$3,662.00","$2,929.60",more than 30,2 to 4,no change,Collision,2,1
427,compacts,Grey,10,Toyota,less than 20000,1,Married,ACT,medical assistants,O,1,side swipe,Driving drunk,Yes,Urban,Wet pavement,20/05/2020,8/09/2011,0,4,"$1,852.00","$1,296.40",more than 30,1,no change,Collision,3,0
428,SUV,Blue,12,Honda,20000 to 29000,0,NA,NT,nurse,O,0,side swipe,Speeding,Yes,Urban,Rain,7/09/2014,30/01/2014,0,0,"$2,549.00","$2,039.20",more than 30,1,no change,Liability,2,0
429,SUV,Black,11,Toyota,less than 20000,0,Married,NT,college professor,O,0,side swipe,Poorly designed roads/intersections,No,Urban,Wet pavement,4/01/2017,31/01/2019,0,1,"$5,284.00","$4,755.60",more than 30,none,no change,All Perils,1,0
430,Subcompacts,White,6,Pontiac,20000 to 29000,1,Married,QLD,college professor,O,1,collision with reversing,Distracted driving,Yes,Urban,Rain,7/07/2011,2/09/2016,0,2,"$4,746.00","$3,796.80",more than 30,2 to 4,no change,Liability,4,0
431,SUV,Green,4,Chevrolet,20000 to 29000,1,NA,NSW,Security guards,O,0,collision with stationary vehicle,Distracted driving,Yes,Urban,Rain,21/05/2020,7/06/2019,0,0,$604.00,$422.80,more than 30,none,no change,Collision,1,0
432,SUV,White,3,Mercury,more than 69000,0,Married,ACT,marketing manager,O,1,nose-to-tail,Speeding,No,Rural,Icy pavement,16/07/2013,9/06/2019,0,1,"$2,673.00","$2,138.40",more than 30,2 to 4,no change,Collision,3,1
433,Subcompacts,Yellow,12,Toyota,30000 to 39000,1,Married,ACT,information security analysts,O,1,nose-to-tail,Tailgating/aggressive driving,No,Rural,Icy pavement,2/04/2011,22/08/2011,1,1,"$1,077.00",$753.90,more than 30,more than 4,no change,Liability,2,0
434,City-cars,Blue,2,Toyota,20000 to 29000,0,NA,NSW,office clerks,O,0,collision with stationary vehicle,Speeding,No,Rural,Wet pavement,20/03/2016,2/10/2011,0,3,"$5,657.00","$5,091.30",more than 30,none,no change,Collision,2,0
435,SUV,Green,10,Honda,more than 69000,1,Single,TAS,college professor,O,1,nose-to-tail,Driving drunk,Yes,Urban,Snow/Slushy pavement,14/01/2015,9/12/2017,0,1,"$1,402.00",$981.40,more than 30,2 to 4,no change,Liability,2,1
436,SUV,White,2,Pontiac,30000 to 39000,0,Married,QLD,nurse,O,1,side swipe,Driving drunk,Yes,Rural,Rain,20/04/2016,25/02/2017,0,4,"$6,274.00","$5,646.60",more than 30,2 to 4,no change,All Perils,2,1
437,SUV,Yellow,3,Pontiac,30000 to 39000,0,Married,WA,lawyer,O,0,nose-to-tail,Distracted driving,Yes,Urban,Rain,16/01/2018,11/05/2020,0,2,"$2,784.00","$2,227.20",more than 30,2 to 4,no change,All Perils,4,1
438,SUV,Blue,6,Chevrolet,30000 to 39000,1,Married,TAS,dentists,L,1,collision with stationary vehicle,Tailgating/aggressive driving,Yes,Urban,Wet pavement,26/08/2013,16/12/2010,0,3,"$1,202.00",$841.40,more than 30,none,no change,All Perils,3,0
439,Subcompacts,Green,9,Honda,20000 to 29000,0,Married,QLD,physical therapists,O,1,side swipe,Tailgating/aggressive driving,No,Urban,Wet pavement,21/12/2016,9/12/2010,0,4,"$4,335.00","$3,468.00",more than 30,more than 4,no change,Liability,1,1
440,SUV,Yellow,15,Honda,20000 to 29000,1,Single,NSW,lawyer,O,1,nose-to-tail,Distracted driving,Yes,Urban,Wet pavement,27/04/2012,7/06/2014,1,1,"$1,005.00",$703.50,more than 30,none,no change,Collision,4,0
441,Subcompacts,Red,9,Pontiac,20000 to 29000,1,Single,NSW,Security guards,O,1,collision with reversing,Tailgating/aggressive driving,Yes,Urban,Rain,14/08/2018,29/04/2017,0,2,"$6,765.00","$6,088.50",more than 30,2 to 4,no change,Collision,1,1
442,Executive,Yellow,9,Honda,more than 69000,0,Single,NT,Trailer Truck Drivers,O,0,side swipe,Poorly designed roads/intersections,No,Urban,Rain,10/03/2019,3/12/2018,0,0,"$2,867.00","$2,293.60",more than 30,none,4 to 8 years,Collision,4,0
443,MPV,Green,0,Chevrolet,20000 to 29000,0,Married,TAS,physical therapists,O,0,nose-to-tail,Distracted driving,Yes,Urban,Snow/Sleet,7/11/2014,25/05/2016,0,4,"$5,425.00","$4,882.50",more than 30,2 to 4,no change,Collision,2,0
444,SUV,Red,0,Mazda,less than 20000,0,Married,ACT,dentists,O,1,side swipe,Tailgating/aggressive driving,No,Urban,Snow/Sleet,27/01/2018,1/11/2013,0,1,"$5,925.00","$5,332.50",more than 30,none,no change,All Perils,1,1
445,compacts,Green,5,Toyota,20000 to 29000,0,Married,NT,engineer,L,1,collision with stationary vehicle,Tailgating/aggressive driving,Yes,Urban,Snow/Slushy pavement,12/02/2015,14/06/2010,0,0,"$2,390.00","$1,912.00",more than 30,none,no change,Liability,3,0
446,compacts,Blue,4,Pontiac,30000 to 39000,0,Married,ACT,dentists,O,0,collision with stationary vehicle,Driving drunk,Yes,Urban,Wet pavement,7/07/2010,8/11/2015,1,3,$853.00,$597.10,more than 30,2 to 4,no change,Collision,2,0
447,Subcompacts,Grey,11,Honda,20000 to 29000,0,Married,ACT,marketing manager,O,0,nose-to-tail,Distracted driving,Yes,Urban,Rain,7/09/2013,14/06/2020,0,1,"$5,669.00","$5,102.10",more than 30,1,no change,Liability,4,1
448,SUV,Blue,7,Toyota,20000 to 29000,1,Married,WA,Security guards,O,0,nose-to-tail,Speeding,Yes,Urban,Wet pavement,14/03/2012,3/09/2020,0,2,"$3,782.00","$3,025.60",more than 30,more than 4,no change,Liability,1,1
449,SUV,Grey,0,Toyota,20000 to 29000,0,Single,VIC,Accountants,O,1,nose-to-tail,Distracted driving,No,Urban,Fog,8/12/2020,30/12/2014,0,1,"$5,116.00","$4,604.40",more than 30,none,no change,All Perils,2,0
450,Subcompacts,Yellow,4,Honda,less than 20000,1,Married,TAS,Cashiers,O,1,collision with an animal,Distracted driving,Yes,Rural,Wet pavement,27/04/2018,27/06/2016,0,3,"$6,814.00","$6,132.60",more than 30,1,no change,All Perils,1,0
451,compacts,Blue,8,Pontiac,20000 to 29000,1,Married,NT,Accountants,O,0,nose-to-tail,Speeding,Yes,Urban,Rain,19/03/2012,25/11/2010,0,0,"$4,489.00","$3,591.20",more than 30,2 to 4,no change,Liability,1,1
452,compacts,Green,9,Mazda,20000 to 29000,0,Married,SA,Retails Salespersons,O,0,collision with stationary vehicle,Driving through red lights,Yes,Urban,Wet pavement,24/07/2016,19/08/2014,0,3,"$1,488.00","$1,041.60",more than 30,none,no change,All Perils,3,0
453,Midsize,Black,15,Mazda,30000 to 39000,1,Single,ACT,information security analysts,O,0,nose-to-tail,Speeding,No,Urban,Snow/Sleet,20/08/2015,4/06/2010,0,1,"$6,031.00","$5,427.90",more than 30,more than 4,no change,Liability,2,1
454,SUV,Grey,2,Chevrolet,40000 to 59000,0,Married,NT,Cashiers,O,0,side swipe,Tailgating/aggressive driving,No,Urban,Wet pavement,3/10/2010,13/01/2020,0,2,"$3,203.00","$2,562.40",more than 30,2 to 4,no change,Liability,4,1
455,Midsize,Black,15,Pontiac,30000 to 39000,0,Married,VIC,lawyer,O,0,side swipe,Speeding,Yes,Urban,Wet pavement,17/07/2010,21/03/2011,1,2,$432.00,$0.00,more than 30,2 to 4,no change,All Perils,1,1
456,MPV,Yellow,14,Honda,20000 to 29000,1,Married,NT,medical assistants,O,1,side swipe,Distracted driving,No,Urban,Wet pavement,7/06/2018,21/05/2016,0,1,"$3,811.00","$3,048.80",more than 30,none,1 year,Collision,1,0
457,Subcompacts,Black,7,Pontiac,20000 to 29000,1,Married,TAS,Trailer Truck Drivers,O,1,side swipe,Driving drunk,Yes,Urban,Snow/Slushy pavement,14/08/2018,15/01/2020,0,0,$746.00,$522.20,more than 30,1,no change,All Perils,4,1
458,SUV,White,1,Toyota,20000 to 29000,0,Married,VIC,physical therapists,O,0,side swipe,Distracted driving,No,Urban,Wet pavement,30/08/2012,13/02/2016,0,1,"$4,354.00","$3,483.20",more than 30,more than 4,no change,Collision,1,0
459,SUV,Blue,13,Toyota,20000 to 29000,1,Married,NSW,information security analysts,O,1,collision with an animal,Distracted driving,Yes,Urban,Wet pavement,3/07/2016,6/09/2011,0,3,"$2,463.00","$1,970.40",more than 30,more than 4,no change,Collision,2,0
460,SUV,Black,9,Mazda,20000 to 29000,1,Married,NSW,Security guards,O,0,side swipe,Tailgating/aggressive driving,Yes,Urban,Wet pavement,31/07/2019,5/06/2017,0,2,"$1,471.00","$1,029.70",more than 30,more than 4,2 to 3 years,Collision,4,0
461,SUV,Yellow,13,Honda,20000 to 29000,1,Married,VIC,Retails Salespersons,O,0,nose-to-tail,Speeding,No,Urban,Snow/Sleet,16/09/2017,24/10/2012,0,2,"$1,192.00",$834.40,more than 30,none,no change,All Perils,2,0
462,Subcompacts,White,13,Toyota,20000 to 29000,0,Single,ACT,insurance sales agent,O,1,nose-to-tail,Speeding,Yes,Urban,Rain,8/11/2010,21/03/2012,0,0,$329.00,$0.00,more than 30,none,no change,Collision,4,0
463,SUV,Blue,11,Accura,40000 to 59000,0,Married,NT,college professor,O,0,collision with reversing,Speeding,No,Urban,Icy pavement,9/12/2016,16/09/2016,0,1,"$2,120.00","$1,696.00",more than 30,more than 4,4 to 8 years,Liability,1,0
464,SUV,Red,9,VW,40000 to 59000,1,Married,SA,Retails Salespersons,L,0,collision with reversing,Tailgating/aggressive driving,Yes,Urban,Wet pavement,30/11/2019,4/08/2019,0,2,"$2,538.00","$2,030.40",more than 30,2 to 4,no change,Liability,3,1
465,Subcompacts,Green,5,Toyota,20000 to 29000,1,Single,ACT,Teacher,O,1,nose-to-tail,Poorly designed roads/intersections,No,Rural,Wet pavement,25/09/2010,25/01/2019,0,3,"$2,455.00","$1,964.00",more than 30,1,no change,Collision,1,0
